Pietropaoli «	1994	1
Alberta Ramognino	1994	1
Laura Pesce	1979	2
Dante Alighieri	1979	1
Francesco Micheli	2004	1
Pozzo Strada	1983	2
Lucio Battisti	1968	1
Teresa Dcpetris	1966	1
Annamaria Martinelli	1984	3
Mediobanca Spafin	1984	1
Mariangela Chiorboli	1984	1
J Ilare	1984	1
R. MARGHERITA	1978	1
Giorgio Cappugi	1981	1
Luciano Sgarlata	1985	1
Loredana Aprato	1996	2
Maria Luisa Pronestì	1996	1
Maria Rosa Calizzano	1992	2
Nicola Garzaniti	1999	1
Franca Saracco	1999	1
Anna Panarello	1999	1
Cordusio di Milano	1993	1
Annette Berte	1988	1
fratelli Canavesio	1991	1
Maria Guzzi	1975	1
Luigi Molinari	1990	1
Anna Maria Mazza	1990	1
