Guido Cesana	1999	3
Melina De Caro	1999	1
Maria Rovero	1999	1
Giuseppina Fossale	1999	1
Carla Ghisio	1999	1
Aurelia Jannelli	1999	1
Mariangela Marenco	1990	1
Kazuyo Naito	1990	1
Giovanna Borrello	1990	1
Giorgetta Liardo	1990	1
Daniela Converso	1990	1
Elena Falco	1977	1
Alessandro Mobono	2000	1
Alessandra Faranda	1993	3
Ilia Moriconi	1993	1
Vita Vignerà	1994	1
Paola Palumbo	1994	1
Coreco Wilma Briano	1994	1
Annalisa Sala	1994	1
Anna Garbarino	1994	1
Mimi De Rose	1981	1
Marina Gennaro	1995	6
Sabrina Moscatelli	1995	3
Sara Rossi	1995	1
Piera Amendola	1995	1
Anna Nicola	1995	1
Vera Grosso	1996	1
Paola Fiore	1996	1
Ombretta Fassone	1996	1
Marina Fiorentino	1996	1
Kojo Livingston	1996	1
Anna Gambetta	1996	1
Sandra Varvello	1992	1
Martin Anthony Wilkinson	1992	1
Liliana Regaldo	1992	1
Anna Maria Lanfrancom	1992	1
Rosa Otounbaeva	2005	1
Karuna Bishnoi	2005	1
Susanna Lanzetti	2004	1
Paola Bussi	2004	1
Inps Maria Pia De Santis	1982	1
Caterina Petrasanta	2001	2
Pilar Valiente	2001	1
Nadia Kersetz	2001	1
Valeria Sabatino	2003	3
Teresa Gastaldi	2003	1
Rossana D' Aniello	2003	1
Marina Baraldini	1989	2
Maria Grazia Pagano	1989	1
Ezio Enrietti	1989	1
Carla Prasso	1989	1
Anna Maria Tasselli	1989	1
Mirella Macera	2002	2
Nadia Kertesz	2002	1
Lino Malara	2002	1
Caterina Pérazzo	2002	1
Archivio Centrale	2002	1
Antonella Garavaglia	2002	1
Rosita Giovannini	1976	1
Silvana Benedetti	1997	1
Nicoletta Gamalero	1997	1
Marita Bevilacqua	1997	1
Jessica Malit	1997	1
Genevieve Defaucigny	1988	1
Kathleen Willey	1998	1
Giovanni Conti	1998	1
Cristina Pagliaccio	1998	1
Celia Kirwan	1998	1
Paola Mangini	1991	1
Nadia Fenoglio	1991	1
Maria Jesus Gonzales	1991	1
Carla Comotto	1991	1
