Jean Aurei	1979	4
Nathalie Courvol	1979	2
Erotico La modella	1979	2
Nathalie Courvol RIEDIZIONE	1979	1
Marianne Eggricks	1979	1
Loretta Young	1979	1
Jean Claude Brialy	1979	1
Jean Aurel	1979	1
Daniela Pasquariello	1979	1
Claude iBriaty	1979	1
Claude Brialy Viet	1979	1
Claude Bnaly	1979	1
Catherine Hessling	1979	1
Aida Accolla	1979	1
Yvonne Brooks	1964	1
Tony Shelley	1964	1
Sonji Roy sorprender !	1964	1
Marilena Possenti	1964	1
Maria Pia Angelucci	1964	1
Guislaine Diesmans	1964	1
Elly Koot	1964	1
Christine Keeler	1964	1
Ann McKeon	1964	1
Agnese Siniolo	1964	1
Tommaso Palamidessi	1951	1
Sunny Vikers	1951	1
Mary Davison	1951	1
Judy Rowe	1951	1
Elena Ricci	1951	1
Christine Keeler	1963	13
Wendy Davies	1963	1
Txi Parker	1963	1
Sylvia Parker	1963	1
Renata Boeck	1963	1
Penny Rudd |	1963	1
Pauline Moore	1963	1
Pat Conway	1963	1
Mike Bongiorno	1963	1
Melknie Franklin	1963	1
Mary Hilem	1963	1
Mario Ciriello Christine Keeler	1963	1
Lucia Cesari	1963	1
Lois Bennett	1963	1
Kay Deibel	1963	1
Helen Goldsach	1963	1
Filippo d' Edimburgo	1963	1
Bronwen Pugh	1963	1
Anna Kasselaar	1963	1
Marta Cecchetto	2005	3
Heidi Klum	2005	3
Milena Salvemini	2005	2
Kate Moss	2005	2
Una «	2005	1
Pirelli Terry Broome	2005	1
Pippo Bando	2005	1
Naomi Campbell	2005	1
Jana Pokora	2005	1
Gretel Coello	2005	1
Fifl II	2005	1
Fernanda Lessa	2005	1
Elin Nurdegren	2005	1
Daniella Ciccarelli	2005	1
Daniela Cicca relli	2005	1
Bianca Baiti	2005	1
Ann Woodwarà	2005	1
Angle MacDonald	2005	1
Ana Beatriz Barros	2005	1
Achille Maramotti	2005	1
Riccardo Aragno iiiitiiiiiiiniiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii	1950	1
Ann Willlamson	1950	1
Diane Kruger	2004	9
Eva Herzigova	2004	2
Randy Ingerman	2004	1
Michelle Boney	2004	1
Kate Moss	2004	1
Jodie Kidd	2004	1
Inés De La Fressange	2004	1
Gaia Maggioni «	2004	1
Filippa Hamilton	2004	1
Fernanda Lessa	2004	1
Eva Sannum	2004	1
Enrico Papi	2004	1
Elin Nordegren	2004	1
Diana Kruger	2004	1
Daniella Gicarelli	2004	1
Berry Berenson	2004	1
Donna Rice	1987	7
