Domenico Fessia	1991	1
Silvano Garberò	1982	1
Gaetano Plsoni	1985	1
Aldo Tolini	1966	1
Ignazio Zanetti	1962	3
Alessandro Roger	1962	2
Roberto Galles	1962	1
Giuseppe Testai	1962	1
Gigi RocchlcclolL	1962	1
Francois Martorell	1962	1
Francesco Greppi	1962	1
Ferreri Vincenzo	1962	1
Caprioglio Carlo	1962	1
Bianco Giovanni	1962	1
Bartolomeo Dutto	1962	1
Vittorio Taricco	1999	1
Francesco Cerrato	1999	1
Feliks Szulc	1996	1
Michele Cartago	1965	3
Sisto Bellone	1965	1
José Luis Elizade	1965	1
Giuseppe Manini	1965	1
Giuseppe Aloisio	1965	1
Giovanni Merlino	1965	1
Walter Tosi	1964	1
Renato Rebuffa	1964	1
Rapetti Mario	1964	1
André Martinez Rasati	1964	1
Pietro Gubiani	1978	2
Michele Racca	1978	1
Marcello Mazzucco	1978	1
Luigi Ponzone	1978	1
Emilio Blnasco	1978	1
Angelo Borio	1983	1
Paolo Tomatis	1971	1
Bartolomeo Andrea Anselmo	1976	1
Domenico Varacall	1970	1
Angelo Tomelleri	1970	1
Giuseppe Durando	1968	2
Virgilio Tomasslni	1968	1
Virginio Ripa	1973	1
James Wood	1973	1
Guido Massa	1973	1
Danilo Milani	1973	1
Primo Castellano	1963	1
Mario Fracchia	1963	1
Harcourt I	1963	1
Armando Bianchini	1963	1
Alessandro Cruto	1969	1
Nello Baratto	1981	1
Angelo Benedetti	1981	1
Giovanni Lo Visetto	1974	1
Giovanni Lo Visette	1974	1
Pierre Duneau	1961	1
Jacques Gulson	1961	1
Carlo Bernocco	1961	1
Rocco Longo	1986	1
Felice Zuccarello	1986	1
Aldo Serra	1986	1
Giovanni Gatti	1953	1
Gino Galli	1953	1
Enrico Piretta	1953	1
Vittorio Ansaldi	1980	1
Ettore Sassone	1980	1
Umberto Velia	1993	2
Aspromonte Milardi	1988	3
Teresio Crevola	1988	1
Primo Vendrame	1988	1
Giuseppe Mistretta	1988	1
Michele Dutto	1979	1
Maddalena Parola	1979	1
Becchio Antonio	1979	1
Michele Paszyn	1957	1
Felice Plretta	1957	1
De Francisco Alfredo	1957	1
Attilio Giannini	1957	1
Antonio Piana	1957	1
Angelo Pirrera	1957	1
Aldo Righi	1957	1
Michele Giordano	1959	1
Luigi Raiteri	1959	1
Franco Pirani	1959	1
Ferreri Vincenzo	1959	1
Giuseppe Sannazzaro	1951	1
Gregne Luigi	1956	1
Giuseppe Guido Bogglo	1956	1
Enrico Cozzi	1956	1
Dominique Barsi	1956	1
Angelo Garnieri	1956	1
Rocco Creazzo	1992	1
Richard Boatto	1960	1
Richard Boatta	1960	1
Pasquale Vanltuccl	1960	1
Marcello Slitto	1960	1
Giuseppe Giudice	1960	1
Giacinto Ferino	1960	1
Bianco Giovanni	1960	1
Artemio Carletti	1960	1
Kelemen Komuves	2003	1
Nicola Mastro-	1967	1
Luigi Buffa	1967	1
Giuseppe Rapollino	1967	1
Giuseppe Rapo	1967	1
Carlo Dinlcastro	1967	1
Bartolomeo Morra	1967	1
Maria Alba Porzio	1998	1
Luigi Pelosini	1998	1
Oreste Fomara	1975	1
Mario Germena	1975	1
Ernesto Mazzone	1975	1
Domenico Massa	1972	2
Annibale Lubini	1972	2
Pietro Samarotto	1972	1
Incaricato Giovanni Menda	1972	1
Enrico Riva	1972	1
Carlo Alberto	1972	1
Bernardino Livera	1972	1
Annibale Lubino	1972	1
Antonio Petrini	1984	1
Olo Battista Mariano	1952	1
Francesco Sasso	1952	1
Picca Biotto Teresio	1958	1
Pietro Raserò	1990	1
Enrico Balzano	1990	1
Carlo Siri	1990	1
Aspromonte Milardi	1990	1
Marco Ghilardi	2000	1
Gino Garlasco	2000	1
Giovanni Allasio	1955	1
Francesco Marco	1955	1
Domenico Camello	1955	1
Crescentino Serra	1987	2
Marietta OlanelU	1987	1
Luigi Regls	1987	1
Giuseppe Romita	1987	1
Aspromonte Milardl	1987	1
Aspromonte Milardi	1987	1
Ferrerò Teresio	1977	1
Ferrerò Guido	1977	1
Aspromonte Milardi	1989	4
Ivo Gallo Rosso	1989	1
Giuseppe Manzone	1989	1
Giuseppe Galletto	1989	1
Francesco Vira di Lugano	1989	1
Giovanni Gianotto	1994	1
Carlo Vercelli	1994	1
Pietro Sereni	1954	1
Giovanni Grisolia	1954	1
Felice Peretta	1954	1
Chiaffredo Novarese	1954	1
C. O.	1954	1
Baudino Bernardino	1954	1
