Sieva Borzak	2004	1
Jack Nicholson	2004	1
Walter Gùrtler	2003	1
Stefano Senardi	2003	1
John Vignola	2003	1
Gabriele Ferraris	2003	1
Francesco Andreoli	2003	1
Jaroslav Novak	1983	1
Federico Monti Arduini	1975	1
Mario Limon- gelli	2001	1
Gianni Morandi	1995	1
Beppe Nocera	1995	1
Nanni Ricordi	1992	1
Giovambattista Ansoldi	1971	1
Roberto Galanti	1990	1
Nanni Ricordi	1990	1
Nando Coppeto	1990	1
Luciano Giacotto	1990	1
Bruno Lauzi	1990	1
Ed Michel	1982	3
Antonio Casetta	1980	1
Mariano Schiavolini	1996	2
Renato Zero	1996	1
José Roberto Verta	1996	1
Antonio Nocera	1996	1
Boss Russell	1973	1
Aldo Locatelli	1973	1
Massimo Morini	1997	1
John Reid	1997	1
Christine Leroux	1997	1
Andrea Rosi	1997	1
Enzo Mazza	2002	2
Wim Wenders	2002	1
Valerio Soave	2002	1
Freddie Naggiar	1985	1
Emilio Cavallaro	1956	1
Vittorio De Scalzi	1999	1
Stefano Senardi	1999	1
Sergio Ferrario	1999	1
Roberto Galanti	1986	1
Qiamptero Simontacchi	1986	1
Gianni Ravera	1986	1
Giampiero Simontacchi	1986	1
Flavio Briatore	1986	1
Flavio B	1986	1
Van Silk	1989	1
May Marcus	1989	1
Franco Madau	1989	1
Luciano Linzi	1994	2
David Geffen	1994	2
Mauro Cauchi	1994	1
Guido Feri	1994	1
Warren Beatty	1988	2
Lou Adler	1988	2
Battiato «	1988	2
Enzo De Caro	1988	1
Bernard Weller	1988	1
Pasquale Bonamassa	1993	2
Vidi il Discografico	1993	1
Lucio Battisti	1981	1
Massimo Di Cataldo	1998	1
Mario Ragni	1998	1
Mara Majonchi	1998	1
Aretha Franklin	1998	1
Giampiero Simontacchi	1972	1
Romano Di Bari	1968	1
Marco Visentin	1991	6
Roberto Galanti Fra	1991	2
Roberto Galanti	1991	2
Renzo Garbin	1991	1
Michael Covitt	1991	1
Roberto Galanti	1987	1
Eddie Barclay	2000	2
Nanni Ricordi	1984	2
Enrico Maria Salerno	1984	2
Yoko Ono	1984	1
Mario Briatóre	1984	1
Antonio Taccogna	1984	1
Antonio Tacco	1984	1
Antonio Taccagna	1984	1
Antonio Oerini	1984	1
