john Rock	1971	1
Ove Cassmer	1971	1
Maria Vittoria	1971	1
Gregory Pincus	1971	1
De Wattevilh	1971	1
Guido Malàtesta	1957	2
Rodolphe Rochat	1957	1
Giuseppe Spada	1957	1
Carola Prosperi	1957	1
Carlo Clauberg	1957	1
Alexander Brunschwig	1957	1
Gino Terzi	1969	2
John Rock	1969	1
Guido Gacci	1969	1
Gregory Pincus	1969	1
Giuseppe Dellepiane	1969	1
George Wynn	1969	1
Franco Rio	1969	1
Eliott Philipp	1969	1
De Wattville	1969	1
De Watteville	1969	1
Carlos GarciaCompte	1969	1
Pierluigi Ponte	1988	13
Armando Elena	1988	5
Carlo Gambaro	1988	4
Sant' Anna	1988	2
Maria Cristina Bertolino	1988	2
Leonardo Formigli	1988	2
Giorgio Conciani	1988	2
Salvatore Gallo	1988	1
Ruggero Grio	1988	1
Marco Galle	1988	1
Leonardo Pacilli «	1988	1
James Brown	1988	1
Giuseppe Osnengo	1988	1
Giovanni Voglino	1988	1
Giovanni Veglino	1988	1
Giorgio Conciarli	1988	1
Giacomo Ricca	1988	1
Francesco Filardo di Foligno	1988	1
Erik Cregersen	1988	1
Emanuele Lauricella	1988	1
Dante Salvatores	1988	1
Cesare Aragona	1988	1
Antonio Silvestri	1988	1
Anthony Kenney	1988	1
Silvio Viale	2001	18
Sant' Anna	2001	12
Carlo Vallega	2001	11
Severino Antinori	2001	10
Giancarlo Dolfin	2001	8
Carlo VaUega	2001	3
Alessandro Di Gregorio	2001	3
Ilio Spallone	2001	2
II ginecologo Severino Antinori	2001	2
Carlo Flamigni	2001	2
Amedeo Bianco	2001	2
Alessandro Di Grego	2001	2
Vincenzo Abate	2001	1
S. Anna	2001	1
Pietro Giuliani	2001	1
Luigi Triolo	2001	1
Jacques Cohen	2001	1
Guido Fritz	2001	1
Giuseppe Dato	2001	1
Giuseppe Calì	2001	1
Giancarlo Dolfìn	2001	1
Giancarlo Dolfln	2001	1
Gian � carlo Dolfìn	2001	1
Gian cario Dolfin	2001	1
Cesio Flavio Caldas Brandao	2001	1
Carlo Vàllega	2001	1
Augusto Semprini	2001	1
Pier Luigi Montironi	1983	3
Roberto Shaw	1983	2
Giorgio Duval	1983	2
Giannino Barco Ostetrico	1983	2
Franco Vanni	1983	2
Franco Mascherpa	1983	2
Alessandro Barbanti	1983	2
Orazio Bozzani	1983	1
Mario Carotenuto	1983	1
Joe D' Amato	1983	1
Giulio De Fubntiis	1983	1
Giovanni Mo¬	1983	1
Gilberto Michetoni	1983	1
Clemente Granata	1983	1
De Wattewyl	1970	2
Raimondo Rizzu	1970	1
Olga Carafa di Bovino	1970	1
Hubert De Watteville	1970	1
Gino Mantegna	1977	3
Renzo Montagnani	1977	2
Joe D' Amato	1977	2
Isabella Biasini	1977	2
Guido Fritz	1977	2
Domenico Castellano	1977	2
Cornelia Pilz	1977	2
jp Montagnani	1977	1
Renzo Montagli	1977	1
Renzo - Montagnàni	1977	1
R. Montagnani	1977	1
Piero Slsmondi	1977	1
Octavian Stanca	1977	1
Marco Ognissanti	1977	1
Isabella Biagini	1977	1
Gino Maotegm	1977	1
Gaetana Capeldo	1977	1
Francesco Garglulo	1977	1
Eugenio Gagliardi	1977	1
Emilio Arisi	1977	1
D' Alii gelo	1977	1
Carlo Valenti	1977	1
Aldo- Fabrizi	1977	1
Aldo Fabrizi iltai.i Coio	1977	1
Aldo Fabrizi	1977	1
