Giuseppe Cerato	1983	3
Miles Davis	1983	1
Ignazio Bonino	1983	1
Selleria Monti	1977	1
Luigi Louvel	1953	1
Poltrona Frau	2001	2
Tommaso Marocco	1964	1
Nuevo Perez	1964	1
Mario Craglia	1964	1
Gobi Meucci di Marradi	1959	1
Lorenzo Di Credi	1965	1
Giuseppe Cerato	1992	1
II Sellaio	1985	2
Ernesto Bonino	1985	1
Pietro Colombo	1991	1
S. Rita	1976	4
Giuseppe Ricciardi	1957	1
De Panni	1957	1
Attilio Biglino	1957	1
Giuseppe Cerato	1980	2
Jacopo del Sellaio	2004	3
Giovanni Comune	1955	2
Eugenio Viadana	1993	1
Henry Defoe	1979	1
Giuseppe Cerrato	1979	1
Domenico Sibona	1979	1
Ignazio Bonino	1987	1
Mario Giudici	1963	1
Jacopo del Sellaio	1973	1
David Barnes	1973	1
Bert Tidmarsh	1973	1
Beri Tidmarsh	1973	1
Paolo Ajello	1982	1
Giuseppe Cerato	1982	1
Domenico Rue	1956	1
Piero Galasco	1978	1
Moro Sellaio	1978	1
Giuseppe Schiavarelli	1978	1
Giovanni Fea Artigiano	1978	1
G. B. Manfredi	1951	1
Francesco Martinetto	1951	1
Mortara Giacomo	1968	1
Pietro Audano	1997	1
David Workmaim	1997	1
